user,name,comment,note
DEMOJV,compto community center,Would recommend.,4
AFNYRU,ept community center,Cool,2
MQVMXF,handital community center,Ok!,3
SKKCCZ,conjuntioned community center,Ok!,2
PKAVPR,pruvia community center,Cool,2
HAUVLM,pacisinfess community center,Ok!,5
WJTJXO,surelantered community center,Cool,4
TLVERQ,farkling community center,Didn't like it.,2
OQOPYS,cadfleur community center,Ok!,4
HKXSYG,thogicid community center,Ok!,1
GCEEXH,undenonprol community center,Cool,4
ZDZSRL,thrintur community center,Superb!,1
PSIOAA,preppanting community center,Ok!,2
NWWQNF,tardonts community center,Superb!,1
ZZZHCF,ishimbob community center,Cool,0
TPOYPP,morath community center,Cool,5
YXRNMR,appreffinge community center,Would recommend.,2
EPZFZT,merint community center,Ok!,3
AFEPWQ,fluffster community center,Ok!,1
KOXGKP,camewho community center,Ok!,1
FYHKFZ,guirfiely community center,Didn't like it.,4
MIZKGF,yokovich community center,Didn't like it.,1
UNMEKY,eferbarn community center,Cool,4
LAQNNW,evenner community center,Didn't like it.,2
MJLPNX,alizer community center,Superb!,2
CPCRYL,ainsificansion community center,Ok!,5
BYRVKH,decrevendowney community center,Didn't like it.,1
EBRIME,avorthuades community center,Cool,3
RHQPOF,sneablathes community center,Didn't like it.,5
ZULWHA,peeprol community center,Would recommend.,2
OGRHOM,ibuckatle community center,Didn't like it.,5
BNLHVJ,diterictur community center,Didn't like it.,3
TYLKPU,bascrily community center,Ok!,3
BYCPEF,annecking community center,Didn't like it.,5
VSKCTM,ivortion community center,Cool,3
GOZEQR,addictionary community center,Superb!,2
WKGNBC,pushirecost community center,Would recommend.,5
VXTVIF,happitold community center,Didn't like it.,1
KPELYT,dozzlegram community center,Superb!,2
YDUICD,swimbumbles community center,Cool,2
TZOEZZ,tomash community center,Ok!,0
CKVKWC,ininter community center,Cool,3
XLKWCJ,ammigle community center,Cool,4
QGHSRZ,votion community center,Ok!,1
TKYGBF,pougglisomers community center,Superb!,2
AJLTOE,aferraron community center,Ok!,4
HIBJXC,justaled community center,Would recommend.,0
GLFAKR,condled community center,Would recommend.,1
ATWSOT,thwided community center,Superb!,4
XCZRKA,perfecton community center,Superb!,4
ORKGHU,comple community center,Didn't like it.,1
LWCEOY,fapster community center,Didn't like it.,5
MXJLHN,tempons community center,Ok!,5
WZMSUW,viction community center,Superb!,4
ENWWRC,trementers community center,Didn't like it.,5
PSPQTI,torshn community center,Would recommend.,4
CKTEKV,gewshaw community center,Cool,0
SHHGSJ,improssifish community center,Superb!,2
MEHEGN,geosyog community center,Ok!,5
BIXAPI,hesionalismars community center,Superb!,4
JIDFFD,fierer community center,Would recommend.,4
LCCGQC,aritionated community center,Would recommend.,4
DOQFEK,maximacovers community center,Ok!,3
HQXAXW,memostorer community center,Superb!,0
GLAXJH,univallar community center,Superb!,3
NXSCCM,entninang community center,Ok!,0
RPNDMN,flookmon community center,Superb!,5
AEOAWY,pertifter community center,Would recommend.,4
FEAELH,autive community center,Superb!,3
BXDZAO,winooze community center,Would recommend.,0
YSIBQD,mitaclau community center,Would recommend.,3
OENJCT,yeinydd community center,Cool,2
DRZXUM,hialite community center,Ok!,3
DNYKOC,sislaf community center,Didn't like it.,4
RMTEZL,parianker community center,Didn't like it.,0
ZAJSVK,spusious community center,Ok!,1
OXYLZC,reconcy community center,Ok!,0
JDIZRF,breater community center,Cool,0
ETQXSI,innametaxist community center,Cool,1
VYIZQS,wireve community center,Ok!,4
RJFGRS,solibewither community center,Superb!,5
HNTVSA,dalligogle community center,Ok!,1
JFKNVH,eastical community center,Didn't like it.,1
ISAHMH,boaconic community center,Didn't like it.,5
HRRBRR,scantivaning community center,Superb!,1
CFNIUY,imsomed community center,Didn't like it.,0
TWFLEZ,ovistshing community center,Superb!,5
CISNUY,gooklor community center,Ok!,5
TLSCWY,gimmerizeds community center,Would recommend.,2
TTIHFZ,succupservas community center,Would recommend.,4
MQKIWI,molish community center,Superb!,1
OACLKX,palicianced community center,Would recommend.,1
IDSAGT,counfused community center,Didn't like it.,5
MCKEDK,lodisabooked community center,Would recommend.,4
TOAXJZ,natearpnoty community center,Cool,0
ZKQKWG,inesbywal community center,Cool,4
ZRCMTE,conscipatheon community center,Would recommend.,1
NGYRHB,animepolis community center,Cool,3
ZHXEPU,lidaystateste community center,Ok!,1
BUKTXC,lidaystateste community center,Superb!,1
